material,short_text,supplier/supplying_plant,order_quantity,net_price,total_spend,material_group,plant
13000730.0,Methyl valsartan-IPCA,300016     IPCA LABORATORIES LTD,1.0,250.0,250.0,162,LP01
71000045.0,Crp-Duphat Engagement activity at booth,200507     Media Makers Advertising LLC,1.0,3400.0,3400.0,54,LP01
71000045.0,Crp- Duphat Booth Creation,200507     Media Makers Advertising LLC,1.0,45000.0,45000.0,54,LP01
71000210.0,M365 Business Basic,200054     EMTECH COMPUTER CO. LLC,30.0,208.01,6240.299999999999,54,HP01
71000109.0,M365 Apps for Business,200054     EMTECH COMPUTER CO. LLC,3.0,286.52,859.56,54,HP01
71000112.0,M365 Visio Plan 2,200054     EMTECH COMPUTER CO. LLC,1.0,550.11,550.11,54,HP01
71000111.0,M365 Business Standard,200054     EMTECH COMPUTER CO. LLC,15.0,459.49,6892.35,54,LP01
71000210.0,M365 Business Basic,200054     EMTECH COMPUTER CO. LLC,130.0,212.75,27657.5,54,LP01
71000109.0,M365 Apps for Business,200054     EMTECH COMPUTER CO. LLC,13.0,293.04,3809.5200000000004,54,LP01
71000112.0,M365 Visio Plan 2,200054     EMTECH COMPUTER CO. LLC,4.0,562.65,2250.6,54,LP01
63000879.0,Airtec - Zero Air Gas Cylinder Refill,200189     AL RUWAIS INDUSTRIAL GASES CO. LLC,5.0,675.0,3375.0,35,LP01
63000878.0,Airtec - Nitrogen Gas Cylinder Refill,200189     AL RUWAIS INDUSTRIAL GASES CO. LLC,2.0,175.0,350.0,35,LP01
63000877.0,Airtec - Hydrogen Gas Cylinder Refill,200189     AL RUWAIS INDUSTRIAL GASES CO. LLC,2.0,375.0,750.0,35,LP01
,Quadrant for dapagliflozine10mg,200100     SPACETECH TECHNICAL SERVICES,1.0,4500.0,4500.0,40,LP01
64000739.0,WATER FILTERS 30 INCH 5 MICRON,200065     EMIRATES INUDSTRIAL FILTERS CO. LLC,20.0,7.0,140.0,28,LP01
64000120.0,WATER FILTERS 40 INCH 5 MICRON,200065     EMIRATES INUDSTRIAL FILTERS CO. LLC,20.0,8.0,160.0,28,LP01
62000215.0,Spray Bottle 500ml,200058     CHEMEX HYGIENE CONCEPTS LLC,20.0,3.5,70.0,52,HP01
62000467.0,Filter Bags for Aria,"300200     GUARD ENDUSTRIYEL URUN,",5.0,1160.0,5800.0,129,HP01
62000239.0,Disposable Lab Coat - XL,200398     IBN Rushd Medical Drugs,100.0,4.0,400.0,62,HP01
66000006.0,Toner HP 207A - Cyan,200501     Americana Computer Systems LLC,3.0,240.0,720.0,34,HP01
66000005.0,Toner HP 207A - Yellow,200501     Americana Computer Systems LLC,3.0,240.0,720.0,34,HP01
66000007.0,Toner HP 207A - Magenta,200501     Americana Computer Systems LLC,3.0,240.0,720.0,34,HP01
66000008.0,Toner HP 207A - Black,200501     Americana Computer Systems LLC,5.0,240.0,1200.0,34,HP01
66000002.0,"Brother Laminated Tape 36mm  - 1.4""",200501     Americana Computer Systems LLC,5.0,116.0,580.0,34,HP01
66000003.0,"Brother Laminated Tape 12mm - 0.47""",200501     Americana Computer Systems LLC,3.0,55.0,165.0,34,HP01
66000023.0,Toner Sharp DX-25FT-BA Black,200085     NEW SMART OFFICE AUTOMATION LLC,4.0,215.0,860.0,34,HP01
62000221.0,Disposable Latex Gloves PF Size L 100' S,200363     AL SAADAH MEDICAL & SURGICAL SUPPLI,560.0,9.5,5320.0,52,HP01
62000235.0,IPA Alocohol 70% - Medichem - 5L,200363     AL SAADAH MEDICAL & SURGICAL SUPPLI,32.0,53.0,1696.0,52,HP01
71000049.0,Calibration,200055     JANSAL CALIBRATION SERVICES,3.0,200.0,600.0,54,HP01
62000322.0,Cable Tie,200366     New Power Electrical & Building Mat,200.0,7.55,1510.0,22,LP01
22000029.0,BOX OBREXA 10/160 MG TAB 30’S,200496     AL NAKHEEL PRINTERS & STATIONERS LL,1000.0,1200.0,1200000.0,75,LP01
22000074.0,Box Crestocan 10mg Tab 30's,200323     Umm Al Quwain Manufacturing,16500.0,195.0,3217500.0,75,LP01
22000075.0,Box Crestocan 20mg Tab 30's,200323     Umm Al Quwain Manufacturing,17900.0,170.0,3043000.0,75,LP01
22000093.0,Box Tavacan 500mg Tab 7's,200323     Umm Al Quwain Manufacturing,12000.0,224.0,2688000.0,75,LP01
22000094.0,Leaflet Tavacan,200200     RASHID PRINTERS & STATIONERS LLC,12700.0,0.17,2159.0,74,LP01
22000150.0,CCARTON 5PLY – 380LX380WX315H(ZEINO),200236     QUEENEX CORRUGATED CARTON FACTORY L,500.0,3.6,1800.0,24,LP01
22000117.0,CCarton 5ply 375lx280wx280h mm,200236     QUEENEX CORRUGATED CARTON FACTORY L,500.0,2.5,1250.0,24,LP01
22000102.0,Box Etorican 90mg Tab 30's,200323     Umm Al Quwain Manufacturing,16500.0,170.0,2805000.0,75,LP01
11000002.0,Etoricoxib – Glenmark,300006     GLENMARK LIFE SCIENCES LIMITED,82.0,730.0,59860.0,1,LP01
62000211.0,Tissue Box 200 Sheets 2 Ply,200058     CHEMEX HYGIENE CONCEPTS LLC,6.0,58.0,348.0,52,LP01
62000321.0,Shrink wrap,200307     GALAXY,48.0,16.34,784.3199999999999,22,LP01
63001189.0,Montelukast EPCRS_Y0001434,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,2.0,680.0,1360.0,162,LP01
63000920.0,Sodium Acetate Trihydrate_6131-90-4,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,3.0,140.0,420.0,35,LP01
63000249.0,Sodium Sulphite_7757-83-7,200226     CHEMSTOCK LLC,1.0,50.0,50.0,35,LP01
62000209.0,Autocut Roll Tissue,200044     DHOFAR GLOBAL TRADING CO.LLC,30.0,50.0,1500.0,52,LP01
13000731.0,"Foil forRoqalb5mgtablets,10's 0.025/224M",200052     TECHNICAL ALUMINIUM FOIL CO LLC,10.0,37.0,370.0,2,LP01
71000020.0,Cylinder Charge Al Foil Printing,200052     TECHNICAL ALUMINIUM FOIL CO LLC,1.0,800.0,800.0,54,LP01
22000112.0,Leaflet Admont 4mg Chewable,200496     AL NAKHEEL PRINTERS & STATIONERS LL,3700.0,87.0,321900.0,74,LP01
22000114.0,Leaflet Admont 10mg,200496     AL NAKHEEL PRINTERS & STATIONERS LL,9500.0,87.0,826500.0,74,LP01
62000520.0,SS Drum - 5 liters,300180     Sampling Systems Ltd,4.0,294.5,1178.0,22,HP01
62000521.0,SS Drum - 10 liters,300180     Sampling Systems Ltd,4.0,370.5,1482.0,22,HP01
71000211.0,Calibration for Axicon 6000-W,300060     AXICON AUTO ID LIMITED,1.0,56.0,56.0,54,LP01
63001663.0,Plunger Seal GFP ID2_228-35146,200295     NAHLA MEDICAL SUPPLIES,2.0,450.0,900.0,35,LP01
63001664.0,"Stator, HV 2030  LC-2050 C 3D_S-0034355",200295     NAHLA MEDICAL SUPPLIES,1.0,1900.0,1900.0,35,LP01
63001665.0,Stator 5PV  LC-2050 C 3D_S-0031593,200295     NAHLA MEDICAL SUPPLIES,1.0,960.0,960.0,35,LP01
71000005.0,SAP License Maintenance,200131     INFLEXION TECH FZC,1.0,90822.05,90822.05,54,LP01
62000079.0,Pencil,200331     PRISMO GENERAL TRADING,20.0,4.25,85.0,55,LP01
62000096.0,"Presentation Ring Binder 4-Ring 2"" A4",200331     PRISMO GENERAL TRADING,40.0,10.5,420.0,55,LP01
62000097.0,"Presentation Ring Binder 2-Ring 2.5"" A4",200331     PRISMO GENERAL TRADING,20.0,10.75,215.0,55,LP01
62000095.0,"Presentation Ring Binder 2-Ring 2"" A4",200331     PRISMO GENERAL TRADING,20.0,9.75,195.0,55,LP01
62000134.0,"Transparent Tape 2""",200331     PRISMO GENERAL TRADING,20.0,14.0,280.0,55,LP01
62000482.0,DPTE TUBING RTP 270 lateral connection,200491     Getinge Group Middle East FZ-LLC,1.0,1004.21,1004.21,22,HP01
63000292.0,Hardness test kit_H13812,200226     CHEMSTOCK LLC,1.0,100.0,100.0,35,LP01
66000094.0,Wired Headphones,200504     Gear Net Technologies LLC,5.0,88.0,440.0,34,LP01
66000028.0,"Laptop Bag  15""",200504     Gear Net Technologies LLC,3.0,29.0,87.0,34,LP01
66000031.0,Wireless Keyboard and Mouse MK270,200504     Gear Net Technologies LLC,3.0,73.0,219.0,34,LP01
22000193.0,Leaflet Etoxib,200200     RASHID PRINTERS & STATIONERS LLC,9600.0,0.13,1248.0,74,LP01
22000191.0,Box Etoxib 90mg Tab 30's,200323     Umm Al Quwain Manufacturing,9400.0,225.0,2115000.0,74,LP01
22000175.0,Box Admont 4mg Chewable Tablets 28's,200323     Umm Al Quwain Manufacturing,3500.0,700.0,2450000.0,74,LP01
22000174.0,Box Admont 10mg Tablets 28's,200323     Umm Al Quwain Manufacturing,9000.0,350.0,3150000.0,74,LP01
,Dapagliflozin - 5mg Blister C/Parts,300199     Technical Engineering & Tooling Ser,1.0,1550.0,1550.0,4,LP01
,Dapagliflozin - 10mg C/parts,300199     Technical Engineering & Tooling Ser,1.0,1550.0,1550.0,4,LP01
22000077.0,Leaflet Crestocan,200200     RASHID PRINTERS & STATIONERS LLC,46000.0,0.12,5520.0,74,LP01
62000156.0,Diesel,200036     EUROPE GENERAL TRANSPORTING,10000.0,9.55,95500.0,22,LP01
22000121.0,CCarton 5ply 385lx366wx330h mm,200236     QUEENEX CORRUGATED CARTON FACTORY L,500.0,3.3,1650.0,24,LP01
22000120.0,CCarton 3ply 385lx366wx250h mm,200236     QUEENEX CORRUGATED CARTON FACTORY L,500.0,2.3,1150.0,24,LP01
71000049.0,Calibration,200055     JANSAL CALIBRATION SERVICES,8.0,221.88,1775.04,54,LP01
63001211.0,Valsartan RC A  10mg_1708773,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,4.0,5383.5,21534.0,162,LP01
63001212.0,Valsartan RC C 10mg_1708795,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,1.0,5790.9,5790.9,162,LP01
63001027.0,10 ml plastic Syringe Cat no 12921031,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,4.0,436.5,1746.0,35,LP01
,SAP Quality Server,200502     IT Valley DWC-LLC,1.0,108000.0,108000.0,4,LP01
12000049.0,Lactose monohydrate Flowlac 100,300156     MEGGLE GmbH & Co. KG,50.0,20.0,1000.0,27,LP01
63001538.0,Forcep_6” (SS)_RSGA612.145,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,10.0,60.0,600.0,35,HP01
63001537.0,Deodorizing Pearls citrus (LA008A)10x50,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,10.0,60.0,600.0,35,HP01
63001534.0,Sterilization Indicator(CodeNo:26410100),200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,4.0,516.0,2064.0,35,HP01
63000477.0,R2A Agar-M962,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,5.0,234.0,1170.0,35,HP01
71000049.0,Nitrogen Generation Qualification,200055     JANSAL CALIBRATION SERVICES,3.0,1875.0,5625.0,54,HP01
71000049.0,Nitrogen Generation Qualification,200055     JANSAL CALIBRATION SERVICES,1.0,1875.0,1875.0,54,HP01
13000728.0,2690 GPV ASS PART No: WAT270927,200003     GULF SCIENTIFIC CORPORATION LLC,1.0,9747.49,9747.49,35,LP01
13000729.0,2690 HEATER/COOLER ENGINE P No:700001066,200003     GULF SCIENTIFIC CORPORATION LLC,1.0,9618.95,9618.95,35,LP01
63001627.0,Tryptic soy broth -STBMTSB12,200192     AL FAHIM HEALTHCARE SOLUTIONS LLC,2.0,110.0,220.0,35,HP01
63001628.0,Fluid Thioglycolate broth - STBMFTM12,200192     AL FAHIM HEALTHCARE SOLUTIONS LLC,2.0,140.0,280.0,35,HP01
63001629.0,Rinse fluid A-STBMRFA12,200192     AL FAHIM HEALTHCARE SOLUTIONS LLC,4.0,150.0,600.0,35,HP01
,SMOKE MACHINE FOR AIR VISUALIZATION,300198     Concept Engineering Ltd (TA Concept,1.0,1105.0,1105.0,196,LP01
64000995.0,Smoke Fluid,300198     Concept Engineering Ltd (TA Concept,10.0,25.0,250.0,44,LP01
71000204.0,BrandSync,200162     BRANDSYNC DWC LLC,1.0,15000.0,15000.0,54,LP01
12000030.0,Opadry II White 03B28796,300004     COLORCON LIMITED,10.0,74.16,741.5999999999999,27,LP01
62000417.0,Double bucket trolley & wringer 46L,300197     CHARNOCK EQUIPMENTS PVT LIMITED,5.0,191.0,955.0,52,HP01
63001662.0,Autoclave basket,200311     MAROUSH ALUMINIUM &,1.0,950.0,950.0,35,LP01
13000691.0,Alu foil Admont 4mg chew Tab 224mm 25µ,200052     TECHNICAL ALUMINIUM FOIL CO LLC,20.0,35.0,700.0,2,LP01
13000692.0,Alu foil Admont 5mg chew Tab 128mm 25µ,200052     TECHNICAL ALUMINIUM FOIL CO LLC,60.0,34.0,2040.0,2,LP01
13000693.0,Alu foil Admont 10mg Tab 128mm 25µ,200052     TECHNICAL ALUMINIUM FOIL CO LLC,60.0,34.0,2040.0,2,LP01
71000020.0,Cylinder Charge Al Foil Printing,200052     TECHNICAL ALUMINIUM FOIL CO LLC,3.0,800.0,2400.0,54,LP01
62000156.0,Diesel,200036     EUROPE GENERAL TRANSPORTING,2000.0,9.5,19000.0,22,LP01
,PharmaSafe 150mm Passive Valve,300196     Chargepoint Technology Ltd,2.0,5193.12,10386.24,4,HP01
62000529.0,ChargePoint ChargeBottle P2 - 20 Litre,300196     Chargepoint Technology Ltd,6.0,210.18,1261.08,22,HP01
,PharmaSafe 150mm Passive Valve,300196     Chargepoint Technology Ltd,1.0,5193.12,5193.12,4,HP01
13000726.0,Cold forming Alu Alu 150mm 135M,200052     TECHNICAL ALUMINIUM FOIL CO LLC,20.0,0.0,0.0,48,LP01
13000727.0,Alu foil 150MM 25M,200052     TECHNICAL ALUMINIUM FOIL CO LLC,10.0,0.0,0.0,2,LP01
66000014.0,Toner HP 26A - Black,200251     SPEED INTEGRATED COMPUTER LLC,4.0,440.0,1760.0,34,LP01
66000005.0,Toner HP 207A - Yellow,200251     SPEED INTEGRATED COMPUTER LLC,4.0,249.0,996.0,34,LP01
66000006.0,Toner HP 207A - Cyan,200251     SPEED INTEGRATED COMPUTER LLC,4.0,249.0,996.0,34,LP01
66000007.0,Toner HP 207A - Magenta,200251     SPEED INTEGRATED COMPUTER LLC,4.0,249.0,996.0,34,LP01
66000008.0,Toner HP 207A - Black,200251     SPEED INTEGRATED COMPUTER LLC,5.0,220.0,1100.0,34,LP01
66000009.0,Toner HP 201A - Yellow,200251     SPEED INTEGRATED COMPUTER LLC,1.0,258.0,258.0,34,LP01
66000010.0,Toner HP 201A - Cyan,200251     SPEED INTEGRATED COMPUTER LLC,1.0,258.0,258.0,34,LP01
66000011.0,Toner HP 201A - Magenta,200251     SPEED INTEGRATED COMPUTER LLC,1.0,258.0,258.0,34,LP01
66000012.0,Toner HP 201A - Black,200251     SPEED INTEGRATED COMPUTER LLC,1.0,258.0,258.0,34,LP01
66000003.0,"Brother Laminated Tape 12mm - 0.47""",200251     SPEED INTEGRATED COMPUTER LLC,5.0,48.0,240.0,34,LP01
66000072.0,DDR3 12800 8GB RAM for Desktop,200054     EMTECH COMPUTER CO. LLC,4.0,96.0,384.0,34,LP01
66000134.0,Cisco GLC-TE 1000BASE-T SFP module CAT5,200054     EMTECH COMPUTER CO. LLC,2.0,168.0,336.0,34,LP01
63001661.0,Acetic anhydride_108-24-7,200395     SAFFRON CHEMICALS & LAB SUPPLIES TR,2.0,295.0,590.0,35,LP01
63001633.0,Hydranal water standard 10.0_34849,200395     SAFFRON CHEMICALS & LAB SUPPLIES TR,1.0,410.0,410.0,162,LP01
63001334.0,UV_VIS STD 5 Toluene_PC_1.08165.0001,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,1.0,1400.0,1400.0,162,LP01
63000759.0,Potassium chloride solution_1.08164.0001,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,1.0,1165.0,1165.0,162,LP01
13000522.0,"Potassium dichromate sol Merck,PN:108160",200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,1.0,1165.0,1165.0,162,LP01
,Huawei AirEngine 5761-11 AP,200054     EMTECH COMPUTER CO. LLC,2.0,1032.0,2064.0,4,LP01
63001656.0,Pemetrexed disodium STD_357166-29-1,300079     SIMSON PHARMA LIMITED,600.0,300.0,180000.0,35,HP01
63001657.0,Keto pemetrexed Impurity_193281-00-4,300079     SIMSON PHARMA LIMITED,15.0,150.0,2250.0,35,HP01
63001658.0,Pemetrexed ImpurityA_869791-42-4,300079     SIMSON PHARMA LIMITED,25.0,365.0,9125.0,35,HP01
63001659.0,Pemetrexed ImpurityD_144051-68-3,300079     SIMSON PHARMA LIMITED,15.0,90.0,1350.0,35,HP01
71000097.0,Nitro Software,"300083     NITRO SOFTWARE, INC.",20.0,59.59,1191.8000000000002,54,LP01
22000084.0,Box Cilvas 10mg Tab 30's,200323     Umm Al Quwain Manufacturing,16500.0,195.15,3219975.0,75,LP01
22000085.0,Leaflet Cilvas,200323     Umm Al Quwain Manufacturing,16800.0,48.22,810096.0,74,LP01
22000119.0,Bopp Tape ADCAN 48mm 100m,LP01 ADCAN LP Plant,5.0,0.0,0.0,24,HP01
22000121.0,CCarton 5ply 385lx366wx330h mm,LP01 ADCAN LP Plant,26.0,0.0,0.0,24,HP01
22000121.0,CCarton 5ply 385lx366wx330h mm,LP01 ADCAN LP Plant,26.0,0.0,0.0,24,HP01
,IP CAMERA UNIVIEW with Bracket & Gland,200501     Americana Computer Systems LLC,2.0,157.5,315.0,4,LP01
13000157.0,N-HEXANE,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,5000.0,125.0,625000.0,35,LP01
13000127.0,"Ethanol Cas:64-17-5, Merck",200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,2500.0,75.0,187500.0,35,LP01
13000723.0,Rosuvas Dehydroanalo cas no.1659301-59-3,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,1.0,3000.0,3000.0,162,LP01
22000040.0,Box Plain 125 X 70 X 32 mm,200496     AL NAKHEEL PRINTERS & STATIONERS LL,5000.0,189.0,945000.0,75,LP01
22000037.0,Box Plain 115 X 50 X 28 mm,200496     AL NAKHEEL PRINTERS & STATIONERS LL,5000.0,189.0,945000.0,75,LP01
71000145.0,Polarimeter_ATAGO_AP-300 (CAL),200040     HIMATRIX MEASUREMENTS EQUIPMENTS LL,1.0,2000.0,2000.0,54,LP01
62000532.0,50lt HDPE storage tanks,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,3.0,500.0,1500.0,22,HP01
71000022.0,Forklift rental,200376     Fast System Gen. Transporting,1.0,2200.0,2200.0,54,LP01
13000724.0,Rosuvas SST Mixture USP Cat No.1606004,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,4.0,4180.0,16720.0,162,LP01
63001438.0,Rosuvastatin RC-A 25mg_1606026,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,1.0,4465.0,4465.0,162,LP01
63001439.0,Rosuvastatin RC-B 25mg_160603,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,1.0,4750.0,4750.0,162,LP01
63001117.0,Rosuvastatin RC-C 25mg_1606048,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,1.0,5035.0,5035.0,162,LP01
13000716.0,Rosuvas Diastereomer cas no.1422515-55-6,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,1.0,5006.5,5006.5,162,LP01
13000722.0,Rosuvas Isoamylester cas no.1197348-98-3,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,1.0,3467.5,3467.5,162,LP01
13000575.0,Diclofenac SST CRS CASNO:Y0001635,200004     LABORATORY SCIENTIFIC SUPPLIES F.Z.,2.0,646.0,1292.0,162,LP01
64000352.0,GAS SPRING D6:LIFT-O-MAT 4848DZ- 40/100N,200147     DANIKA AUTOMATION TECHNOLOGY LLC,2.0,210.0,420.0,40,LP01
,Vertical chute for dapagliflozine10mg,200100     SPACETECH TECHNICAL SERVICES,1.0,3500.0,3500.0,40,LP01
62000086.0,Photocopy Paper A4 White,200331     PRISMO GENERAL TRADING,40.0,56.0,2240.0,55,LP01
62000115.0,Sheet Protector A4 - 100 Sheets,200331     PRISMO GENERAL TRADING,40.0,10.5,420.0,55,LP01
62000016.0,Ball Pen Cello Fine grip 0.7MM Blue,200331     PRISMO GENERAL TRADING,6.0,35.0,210.0,55,LP01
62000084.0,Permanent Marker Dual tip (Blue),200331     PRISMO GENERAL TRADING,17.0,18.0,306.0,55,LP01
62000114.0,Sheet Protector A3,200331     PRISMO GENERAL TRADING,3.0,34.0,102.0,55,LP01
62000049.0,Fantastick Flags Index Sticky Tabs,200331     PRISMO GENERAL TRADING,8.0,5.0,40.0,55,LP01
62000116.0,Shorthand Spiral Notebook,200331     PRISMO GENERAL TRADING,40.0,1.8,72.0,55,LP01
62000105.0,"Presentation Ring Binder 4-Ring 4"" A4",200331     PRISMO GENERAL TRADING,80.0,14.6,1168.0,55,LP01
62000091.0,"Presentation Ring Binder 2-Ring 1.5""  A4",200331     PRISMO GENERAL TRADING,80.0,8.0,640.0,55,LP01
62000039.0,Double Sided Mounting Tape - Clear 3M,200331     PRISMO GENERAL TRADING,40.0,15.0,600.0,55,LP01
62000082.0,Permanent Marker Blue - 12 Pcs,200331     PRISMO GENERAL TRADING,4.0,14.0,56.0,55,LP01
,Respiratory system JSP,200494     alkhalij enterprises LLC,2.0,3610.0,7220.0,51,HP01
,Ventilated Balance Enclosure,200040     HIMATRIX MEASUREMENTS EQUIPMENTS LL,1.0,54900.0,54900.0,4,HP01
,KW Meter Cabinet & Containments,200466     HEPTON ELECTROMECHANICAL,1.0,12000.0,12000.0,4,HP01
,Filter Integrity Tester,"300194     ZHEJIANG TAILIN SCITECH CO., LTD.",1.0,9500.0,9500.0,4,HP01
62000530.0,5 inch cartridge housing,"300194     ZHEJIANG TAILIN SCITECH CO., LTD.",1.0,400.0,400.0,22,HP01
62000531.0,10 inch cartridge housing,"300194     ZHEJIANG TAILIN SCITECH CO., LTD.",1.0,700.0,700.0,22,HP01
,Hook for Dr Pharm. FBD,200100     SPACETECH TECHNICAL SERVICES,2.0,165.0,330.0,40,LP01
,Anti vibration table for balances,200311     MAROUSH ALUMINIUM &,2.0,800.0,1600.0,4,HP01
64000945.0,Sodium Hydroxide,200008     GRADIANT INDUSTRIES - L.L.C - S.P.C,1.0,70.0,70.0,142,HP01
64000946.0,Sodium Bisulphate,200008     GRADIANT INDUSTRIES - L.L.C - S.P.C,1.0,115.0,115.0,142,HP01
64000964.0,DN100 SEALED VALVE,200500     SPIRAX SARCO TRADING L.L.C,1.0,4354.4,4354.4,134,LP01
64000965.0,DN80 SEALED VALVE,200500     SPIRAX SARCO TRADING L.L.C,1.0,2986.99,2986.99,134,LP01
64000966.0,DN65 SEALED VALVE,200500     SPIRAX SARCO TRADING L.L.C,1.0,2434.56,2434.56,134,LP01
64000967.0,DN50 SEALED VALVE,200500     SPIRAX SARCO TRADING L.L.C,3.0,2165.96,6497.88,134,LP01
64000968.0,DN25 SEALED VALVE,200500     SPIRAX SARCO TRADING L.L.C,1.0,1105.86,1105.86,134,LP01
64000970.0,DN25 BALL VALVE,200500     SPIRAX SARCO TRADING L.L.C,4.0,1518.07,6072.28,134,LP01
64000971.0,DN25 DISC CHECK VALVE,200500     SPIRAX SARCO TRADING L.L.C,1.0,977.98,977.98,134,LP01
64000969.0,DN50 BALL VALVE,200500     SPIRAX SARCO TRADING L.L.C,2.0,2714.01,5428.02,134,LP01
64000973.0,Pre filter G4 24x24x2,200301     AEROFILL FILTERS,66.0,28.67,1892.22,28,HP01
64000974.0,Pre filter G4 287x592x48,200301     AEROFILL FILTERS,58.0,21.98,1274.84,28,HP01
64000975.0,Pre filter G4 490x592x48,200301     AEROFILL FILTERS,8.0,26.76,214.08,28,HP01
64000976.0,Pre filter G4 592x490x48,200301     AEROFILL FILTERS,20.0,26.76,535.2,28,HP01
64000977.0,Pre filter G4 592x287x48,200301     AEROFILL FILTERS,36.0,21.98,791.28,28,HP01
